id,name,longitude,latitude
109,"ք․ Երևան, Օրբելի 23",44.493397,40.193519
110,"ք․ Երևան, Օրբելի 23",44.496073,40.19276785
111,"ք․ Երևան, Ղափանցյան 4/9",44.52258771,40.21599044
112,"ք․ Երևան, Ղափանցյան 4/9",44.52248,40.216414
113,"ք․ Երևան, Գյուրջյան 11/3 ",44.56237976,40.19260047
114,"ք․ Երևան, Գյուրջյան 11/3 ",44.561654,40.192589
115,"ք․ Երևան, Արշակունյաց 11/4 ",44.506045,40.166701
116,"ք․ Երևան, Արշակունյաց 11/4 ",44.50728742,40.16750106
117,"ք․ Երևան, Ծիծեռնակաբերդի խճղ., 11/1 ",44.482055,40.181138
118,"ք․ Երևան, Գևորգ Էմինի փողոց 6 ",44.509532,40.194708
119,"ք․ Երևան, Գևորգ Էմինի փողոց 6 ",44.509852,40.194601
120,"ք․ Երևան, Տ. Պետրոսյան փ. 81/2 ",44.498699,40.227134
121,"ք․ Երևան, Տ. Պետրոսյան փ. 81/2 ",44.499558,40.226542
122,"ք․ Երևան, Ռ. Սևակի փ. 30/32 ",44.508868,40.201985
123,"ք․ Երևան, Հ.Հովսեփյան 31 ",44.479588,40.147693
124,"ք․ Երևան, Հ.Հովսեփյան 31 ",44.480929,40.147822
125,"ք․ Երևան, Ռ. Սևակի փ. 30/32 ",44.508831,40.201658
126,"ք․ Երևան,   Անտառային 164/2",44.508729,40.194102
127,"ք․ Երևան, Վերին Անտառային 146/7",44.511492,40.196616
128,"ք․ Երևան, Գ․Հովսփյան փ․ 64/7",44.535528,40.174195
129,"ք․ Երևան, Արտաշատի խճ․101/2",44.47160607,40.1091505
130,"ք․ Երևան, Դավթաշեն 4-րդ թաղ․, 46/12 հողատարածք",44.504157,40.228586
131,"ք․ Երևան, Դավթաշեն 4-րդ թաղ․, 46/12 հողատարածք",44.50321,40.22769341
132,"ք. Երևան, Ռուբինյանց 27/16",44.552834,40.20587
133,"ք․ Երևան, Փիրումյանների փ. 7/6 ",44.49553396,40.22035921
134,"ք․ Երևան, Փիրումյանների փ. 7/6 ",44.496169,40.220032
135,"ք․ Երևան, Մարո Մարգարյան 7",44.509644,40.199584
136,"ք․ Երևան, Մարո Մարգարյան 7",44.509661,40.199928
137,"ք․ Երևան, Գոգոլի փ. 24/23",44.538873,40.197735
138,"ք․ Երևան, Գոգոլի փ. 24/23",44.539424,40.197894
139,"ք․ Երևան, Հովհանես Թևոսյան 1/5",44.57282,40.185929
140,"ք․ Երևան, Հովհանես Թևոսյան 1/5",44.57273,40.185334
141,"ք. Երևան, Նորք 19",44.543061,40.192033
142,"ք. Երևան, Ս. Փարաջանովի փ. 8 ",44.500135,40.178361
143,"ք. Երևան, Ս. Փարաջանովի փ. 8 ",44.500317,40.177913
144,"ք. Երևան, Իսրայելյան 41",44.501193,40.178387
145,"ք. Երևան, Իսրայելյան 41",44.501001,40.178392
146,"ք. Երևան, Արղության 10/15 ",44.512271,40.212904
147,"ք. Երևան, Արղության 10/15 ",44.511689,40.21345
148,"ք. Երևան, Կենտրոն վարչական շրջան, 33-րդ,թաղամաս, լոտեր՝ 10-11-12",44.514431,40.174153
149,"ք. Երևան, Կենտրոն վարչական շրջան, 33-րդ,թաղամաս, լոտեր՝ 10-11-12",44.514403,40.174953
150,"ք. Երևան, ք. Երևան, Լենինգրադյան փ. 19/11 և 5/4",44.473776,40.189968
151,"ք. Երևան, ք. Երևան, Լենինգրադյան փ. 19/11 և 5/4",44.47347,40.189413
152,"ք. Երևան, ք. Երևան, Ղափանցյան 3",44.520668,40.216703
153,"ք. Երևան, ք. Երևան, Ղափանցյան 3",44.520681,40.217206
154,"ք. Երևան, Աշոտ Հովհաննիսյան 21 ",44.575337,40.192423
155,"ք. Երևան, Աշոտ Հովհաննիսյան 21 ",44.57405,40.193365
156,"ք. Երևան, Վերֆելի 40/2",44.48915,40.177805
157,"ք. Երևան, Վերֆելի 40/2",44.48874,40.177902
158,"ք. Երևան, Մաշտոցի 2Ա",44.502197,40.175078
159,"ք. Երևան, Մաշտոցի 2Ա",44.502492,40.175789
160,"ք․ Երևան, Ծիծեռնակաբերդի խճղ., 11/1 ",44.481288,40.180812
161,"ք. Երևան, Նոր Արեշի 26-րդ փ 45 շենք",44.526841,40.139712
162,"ք. Երևան, Արշակունյաց 1 նրբ. 36  հողամաս",44.503233,40.166494
163,"ք. Երևան, Արշակունյաց 1 նրբ. 36  հողամաս",44.50265997,40.16615888
164,"ք. Երևան, Նոր Արեշի 26-րդ փ 45 շենք",44.52680113,40.13959918
166,"ք. Երևան, Արգիշտի 11/15",44.503418,40.171361
167,"ք. Երևան, Արգիշտի 11/15",44.503384,40.171081
168,"ք. Երևան, Իսակով 19/1",44.464906,40.158154
169,"ք. Երևան, Իսակով 19/1",44.464461,40.158068
170,"ք. Երևան, Ազատություն 26/1",44.531371,40.210914
171,"ք. Երևան, Ազատություն 26/1",44.531128,40.210632
